name,Price
Milkshake Vanilla,134.55
Milkshake Chocolate,134.55
Milkshake Blueberry,132.55
Milkshake Lemon Mint,132.55
Milkshake Oreo,154.55
Snickers Shake,154.55
Kitkat Shake,154.55
Milkshake Pomegranate,154.55
Milkshake Coconut,134.55
Milkshake Grape,134.55
Milkshake Peach,156.55
Frappuccino Mocha,134.55
Frappuccino Latte,156.55
Milkshake Date,156.55
Milkshake Mango,134.55
Milkshake Strawberry,134.55
Milkshake Guava,134.55
Mix Ice Cream,146.55
Vanilla Ice Cream,124.55
Soft Drinks,46.55
Schweppes,46.55
Fayrouz,46.55
Birrell,53.55
Red Bull,111.55
Schweppes Gold,48.55
Moussy,53.55
Mineral Water (Small),26.55
Mineral Water (Large),31.55
Sparkling Water,31.55
Om Ali,102.55
Rice with Milk,102.55
Red Velvet,129.55
Cherry Cake,129.55
Cheese Cake,135.55
Pudding,102.55
Rice Pudding Casserole (Large),105.55
Milk Pudding Platter (Large),102.55
Ice Cream,102.55
Pumpkin Platter,102.55
High Way (Mango + Kiwi),132.55
Tropical (Mango + Banana + Pineapple),127.55
Florida (Mango + Strawberry + Banana),127.55
Banana Caramel,127.55
Ice Latte,132.55
Ice Coffee,132.55
Ice Chocolate,134.55
Ice Cappuccino,151.55
Ice Flat White,142.55
Watermelon Smoothie,120.55
Pineapple Smoothie,121.55
Mango Smoothie,142.55
Strawberry Smoothie,120.55
Lemon Mint Smoothie,121.55
Lemon Smoothie,120.55
Kiwi Smoothie,151.55
Guava Smoothie,151.55
Coconut Smoothie,151.55
Blueberry Smoothie,150.55
Red Grapes Smoothie,151.55
Orange Smoothie,151.55
Blue Passion Smoothie,151.55
Pomegranate Smoothie,135.55
Piña Colada Smoothie,135.55
Cherry Smoothie,135.55
Apple Smoothie,135.55
Lemon Juice,86.55
Orange Juice,82.55
Lemon Mint Juice,90.55
Mango Juice,85.55
Guava Juice,85.55
Kiwi Juice,96.55
Banana with Milk Juice,86.55
Strawberry Juice,99.55
Rocket Juice,130.55
Cucumber + Watercress Juice,89.55
Avocado Juice,115.55
Pineapple Juice,115.55
Watermelon Juice,89.55
Small Fruit Dish,258.55
Large Fruit Dish,412.55
Prune Juice,111.55
Grape Juice,111.55
Capuccino,125.55
Nescafe,104.55
Hot Chocolate,122.55
Hot Cider,98.55
Turkish Coffee,66.55
